calling connect
dist: 0.422612
dist: 0.490291
dist: 0.416166
dist: 0.448393
dist: 0.416166
dist: 0.339779
dist: 0.567555
dist: 0.435502
dist: 0.310030
dist: 0.422612
dist: 0.621412
dist: 0.448393
dist: 0.367848
dist: 0.441948
dist: 0.358640
dist: 0.403275
dist: 1.600000
dist: 0.458064
dist: 0.429057
dist: 0.367848
dist: 0.632155
dist: 0.610670
dist: 0.367848
dist: 0.687686
dist: 0.416166
dist: 0.503101
dist: 0.377056
dist: 0.448393
dist: 0.386264
dist: 0.324904
dist: 0.503101
dist: 0.610670
dist: 0.386264
dist: 0.403275
dist: 0.435502
dist: 0.632155
dist: 0.377056
dist: 0.490291
dist: 0.479549
dist: 0.416166
dist: 0.490291
dist: 0.344737
dist: 0.395471
dist: 0.479549
dist: 0.468807
dist: 0.334821
dist: 0.416166
dist: 0.377056
dist: 0.448393
dist: 0.610670
dist: 0.503101
dist: 0.403275
dist: 0.416166
dist: 0.395471
dist: 0.599783
dist: 0.458064
dist: 0.422612
dist: 0.429057
dist: 0.403275
dist: 0.468807
dist: 0.458064
dist: 0.358640
dist: 0.642897
dist: 0.416166
dist: 0.503101
dist: 0.386264
dist: 0.435502
dist: 0.490291
dist: 0.339779
dist: 0.535328
dist: 0.358640
dist: 0.448393
dist: 0.349695
dist: 0.403275
dist: 0.503101
dist: 0.358640
dist: 0.468807
dist: 1.600000
dist: 0.409721
dist: 0.687686
dist: 0.386264
dist: 0.403275
dist: 0.339779
dist: 0.409721
dist: 0.610670
dist: 0.367848
dist: 0.377056
dist: 0.448393
dist: 0.422612
dist: 0.422612
dist: 0.441948
dist: 0.535328
dist: 0.490291
dist: 0.395471
dist: 0.429057
dist: 0.377056
dist: 0.490291
dist: 0.490291
dist: 0.422612
dist: 0.441948
dist: 0.367848
dist: 0.429057
dist: 0.441948
dist: 0.468807
dist: 0.599783
dist: 0.490291
dist: 0.267897
dist: 0.349695
dist: 0.567555
dist: 0.422612
dist: 0.671572
dist: 0.448393
dist: 0.448393
dist: 0.448393
dist: 0.349695
dist: 0.339779
dist: 0.367848
dist: 0.599783
dist: 0.422612
dist: 0.344737
dist: 0.441948
dist: 0.416166
dist: 0.479549
dist: 0.448393
dist: 0.314988
dist: 0.429057
dist: 0.409721
dist: 0.403275
dist: 0.479549
dist: 0.422612
dist: 0.567555
dist: 0.416166
dist: 0.310030
dist: 0.441948
dist: 0.610670
dist: 0.642897
dist: 0.395471
dist: 0.441948
dist: 0.468807
dist: 0.324904
dist: 0.416166
dist: 0.386264
dist: 0.416166
dist: 0.409721
dist: 0.458064
dist: 0.687686
dist: 0.610670
dist: 0.610670
dist: 0.367848
dist: 0.367848
dist: 1.600000
dist: 0.468807
dist: 0.403275
dist: 0.314988
dist: 0.395471
dist: 0.490291
dist: 0.441948
dist: 0.429057
dist: 0.535328
dist: 0.386264
dist: 0.403275
dist: 0.621412
dist: 0.358640
dist: 0.458064
dist: 0.468807
dist: 0.416166
dist: 0.339779
dist: 0.416166
dist: 0.403275
dist: 0.435502
dist: 0.642897
dist: 0.422612
dist: 0.422612
dist: 0.386264
dist: 0.503101
dist: 0.468807
dist: 0.671572
dist: 0.468807
dist: 0.422612
dist: 0.349695
dist: 1.600000
dist: 0.367848
dist: 0.429057
dist: 0.448393
dist: 0.632155
dist: 0.567555
dist: 0.490291
dist: 0.448393
dist: 0.395471
dist: 0.416166
dist: 0.503101
dist: 0.367848
dist: 0.458064
dist: 0.441948
dist: 0.339779
dist: 0.441948
dist: 0.358640
dist: 0.535328
dist: 0.289382
dist: 0.334821
dist: 0.503101
dist: 0.344737
dist: 0.416166
dist: 1.600000
dist: 0.610670
dist: 0.435502
dist: 0.448393
dist: 0.448393
dist: 0.422612
dist: 0.416166
dist: 0.610670
dist: 0.349695
dist: 0.409721
dist: 0.377056
dist: 0.429057
dist: 0.610670
dist: 0.429057
dist: 0.422612
dist: 0.441948
dist: 0.429057
dist: 0.422612
dist: 0.358640
dist: 0.441948
dist: 0.458064
dist: 0.610670
dist: 0.422612
dist: 0.535328
dist: 0.403275
dist: 0.479549
dist: 0.441948
dist: 0.441948
dist: 0.687686
dist: 0.386264
dist: 0.422612
dist: 0.490291
dist: 0.403275
dist: 0.599783
dist: 0.642897
dist: 0.435502
dist: 0.535328
dist: 0.349695
dist: 1.600000
dist: 0.377056
dist: 0.358640
dist: 0.468807
dist: 0.435502
dist: 0.441948
dist: 0.409721
dist: 0.314988
dist: 0.403275
dist: 0.416166
dist: 0.621412
dist: 0.409721
dist: 0.490291
dist: 0.395471
dist: 0.441948
dist: 0.599783
dist: 0.503101
dist: 0.435502
dist: 0.386264
dist: 0.503101
dist: 0.599783
dist: 0.403275
dist: 0.479549
dist: 0.655459
dist: 0.403275
dist: 0.409721
dist: 0.567555
dist: 0.621412
dist: 0.386264
dist: 0.567555
dist: 0.409721
dist: 0.409721
dist: 0.403275
dist: 0.386264
dist: 0.422612
dist: 0.535328
dist: 0.642897
dist: 0.349695
dist: 0.441948
dist: 0.403275
dist: 0.671572
dist: 0.567555
dist: 0.422612
dist: 0.479549
dist: 0.386264
dist: 0.429057
dist: 1.600000
dist: 0.429057
dist: 0.441948
dist: 0.435502
dist: 0.490291
dist: 0.448393
dist: 0.358640
dist: 0.490291
dist: 0.599783
dist: 0.403275
dist: 0.329863
dist: 0.416166
dist: 0.349695
dist: 0.435502
dist: 0.503101
dist: 0.655459
dist: 0.448393
dist: 0.319946
dist: 0.367848
dist: 0.610670
dist: 0.503101
dist: 0.409721
dist: 0.448393
dist: 0.599783
dist: 0.300114
dist: 0.687686
dist: 0.344737
dist: 0.409721
dist: 0.358640
dist: 0.458064
dist: 0.632155
dist: 0.632155
dist: 0.422612
dist: 0.349695
dist: 0.468807
dist: 0.610670
dist: 0.671572
dist: 0.329863
dist: 0.358640
dist: 0.490291
dist: 0.632155
dist: 0.416166
dist: 0.358640
dist: 0.479549
dist: 0.324904
dist: 0.403275
dist: 0.386264
dist: 0.621412
dist: 0.535328
dist: 0.435502
dist: 0.479549
dist: 0.349695
dist: 0.344737
dist: 0.441948
dist: 0.319946
dist: 0.319946
dist: 0.490291
dist: 0.409721
dist: 0.655459
dist: 0.429057
dist: 0.386264
dist: 0.535328
dist: 0.441948
dist: 0.610670
dist: 0.599783
dist: 0.490291
dist: 0.409721
dist: 0.367848
dist: 0.567555
dist: 0.367848
dist: 0.642897
dist: 0.403275
dist: 0.441948
dist: 1.600000
dist: 0.429057
dist: 0.409721
dist: 0.642897
dist: 0.468807
dist: 0.339779
dist: 0.395471
dist: 0.468807
dist: 0.441948
dist: 0.441948
dist: 0.458064
dist: 0.409721
dist: 0.621412
dist: 0.339779
dist: 0.409721
dist: 0.403275
dist: 0.448393
dist: 0.479549
dist: 0.358640
dist: 0.458064
dist: 0.403275
dist: 0.386264
dist: 0.300114
dist: 0.490291
dist: 0.468807
dist: 0.344737
dist: 0.468807
dist: 0.610670
dist: 0.567555
dist: 0.479549
dist: 0.458064
dist: 0.458064
dist: 0.422612
dist: 1.600000
dist: 0.642897
dist: 0.278639
dist: 0.441948
dist: 0.458064
dist: 0.409721
dist: 0.503101
dist: 0.395471
dist: 0.395471
dist: 0.409721
dist: 1.600000
dist: 0.441948
dist: 0.422612
dist: 0.567555
dist: 0.416166
dist: 1.600000
dist: 0.490291
dist: 0.535328
dist: 0.367848
dist: 0.403275
dist: 1.600000
dist: 0.416166
dist: 0.314988
dist: 0.416166
dist: 0.655459
dist: 0.642897
dist: 0.344737
dist: 0.349695
dist: 0.349695
dist: 0.503101
dist: 0.671572
dist: 0.403275
dist: 0.334821
dist: 0.386264
dist: 0.441948
dist: 0.468807
dist: 0.448393
dist: 0.671572
dist: 0.422612
dist: 0.349695
dist: 0.642897
dist: 0.416166
dist: 0.403275
dist: 0.458064
dist: 0.610670
dist: 0.503101
dist: 0.294753
dist: 0.610670
dist: 0.395471
dist: 0.632155
dist: 0.687686
dist: 0.429057
dist: 0.349695
dist: 0.441948
dist: 0.458064
dist: 0.435502
dist: 0.403275
dist: 0.305072
dist: 0.377056
dist: 0.422612
dist: 0.429057
dist: 0.319946
dist: 0.429057
dist: 0.468807
dist: 0.458064
dist: 0.479549
dist: 0.386264
dist: 0.305072
dist: 0.395471
dist: 0.468807
dist: 0.403275
dist: 0.599783
dist: 0.334821
dist: 0.610670
dist: 0.422612
dist: 0.395471
dist: 0.610670
dist: 0.448393
dist: 0.468807
dist: 0.409721
dist: 0.310030
dist: 0.395471
dist: 0.621412
dist: 0.535328
dist: 0.441948
dist: 0.403275
dist: 0.441948
dist: 0.490291
dist: 0.349695
dist: 0.409721
dist: 1.600000
dist: 0.395471
dist: 0.429057
dist: 0.567555
dist: 0.468807
dist: 0.294753
dist: 0.490291
dist: 0.441948
dist: 0.377056
dist: 0.468807
dist: 0.403275
dist: 0.403275
dist: 0.610670
dist: 0.567555
dist: 0.468807
dist: 1.600000
dist: 0.403275
dist: 0.458064
dist: 0.339779
dist: 0.567555
dist: 0.599783
dist: 0.479549
dist: 0.429057
dist: 0.403275
dist: 0.435502
dist: 0.490291
dist: 0.468807
dist: 0.479549
dist: 0.422612
dist: 0.416166
dist: 0.429057
dist: 0.468807
dist: 0.339779
dist: 0.429057
dist: 0.377056
dist: 0.403275
dist: 0.503101
dist: 0.409721
dist: 0.395471
dist: 0.409721
dist: 0.535328
dist: 0.468807
dist: 0.403275
dist: 0.344737
dist: 0.458064
dist: 0.416166
dist: 1.600000
dist: 0.468807
dist: 0.358640
dist: 0.422612
dist: 0.621412
dist: 0.416166
dist: 0.441948
dist: 0.490291
dist: 0.435502
dist: 0.305072
dist: 0.344737
dist: 0.349695
dist: 0.621412
dist: 0.416166
dist: 0.503101
dist: 0.429057
dist: 0.441948
dist: 0.395471
dist: 0.386264
dist: 0.468807
dist: 0.535328
dist: 0.377056
dist: 0.386264
dist: 0.409721
dist: 0.621412
dist: 0.395471
dist: 0.422612
dist: 0.655459
dist: 0.349695
dist: 0.490291
dist: 0.632155
dist: 0.610670
dist: 0.490291
dist: 0.632155
dist: 0.490291
dist: 0.642897
dist: 0.435502
dist: 0.416166
dist: 0.441948
dist: 0.468807
dist: 0.567555
dist: 0.416166
dist: 0.339779
dist: 0.422612
dist: 0.367848
dist: 0.458064
dist: 0.441948
dist: 0.621412
dist: 0.490291
dist: 0.422612
dist: 0.479549
dist: 0.403275
dist: 0.429057
dist: 0.567555
dist: 0.386264
dist: 0.358640
dist: 0.409721
dist: 0.422612
dist: 0.409721
dist: 0.344737
dist: 0.567555
dist: 0.422612
dist: 0.403275
dist: 0.458064
dist: 0.409721
dist: 0.310030
dist: 0.490291
dist: 0.468807
dist: 1.600000
dist: 0.349695
dist: 0.458064
dist: 0.409721
dist: 0.503101
dist: 0.395471
dist: 0.479549
dist: 0.358640
dist: 0.349695
dist: 0.409721
dist: 0.435502
dist: 0.416166
dist: 0.344737
dist: 0.621412
dist: 0.642897
dist: 0.441948
dist: 0.377056
dist: 0.458064
dist: 0.599783
dist: 0.490291
dist: 0.377056
dist: 0.409721
dist: 0.422612
dist: 0.599783
dist: 0.416166
dist: 0.503101
dist: 0.429057
dist: 0.349695
dist: 0.610670
dist: 0.642897
dist: 0.441948
dist: 0.386264
dist: 0.339779
dist: 0.458064
dist: 0.416166
dist: 0.448393
dist: 0.403275
dist: 0.403275
dist: 0.642897
dist: 0.395471
dist: 0.409721
dist: 0.367848
dist: 0.395471
dist: 1.600000
dist: 0.395471
dist: 0.441948
dist: 0.671572
dist: 0.329863
dist: 0.503101
dist: 0.441948
dist: 0.358640
dist: 0.416166
dist: 0.468807
dist: 0.458064
dist: 0.403275
dist: 0.386264
dist: 0.334821
dist: 0.416166
dist: 0.441948
dist: 1.600000
dist: 0.435502
dist: 0.284010
dist: 0.367848
dist: 0.599783
dist: 0.687686
dist: 0.632155
dist: 0.458064
dist: 0.358640
dist: 0.448393
dist: 0.310030
dist: 0.349695
dist: 0.468807
dist: 0.610670
dist: 0.319946
dist: 0.422612
dist: 0.441948
dist: 0.416166
dist: 0.429057
dist: 0.422612
dist: 0.334821
dist: 0.386264
dist: 0.310030
dist: 0.416166
dist: 0.395471
dist: 0.468807
dist: 0.567555
dist: 0.535328
dist: 0.503101
dist: 0.377056
dist: 0.610670
dist: 0.429057
dist: 0.429057
dist: 0.409721
dist: 0.386264
dist: 0.377056
dist: 0.429057
dist: 0.567555
dist: 0.448393
dist: 0.422612
dist: 0.567555
dist: 0.395471
dist: 0.403275
dist: 0.367848
dist: 0.429057
dist: 0.409721
dist: 0.448393
dist: 0.429057
dist: 0.358640
dist: 0.429057
dist: 0.403275
dist: 1.600000
dist: 0.503101
dist: 0.535328
dist: 0.395471
dist: 0.610670
dist: 0.416166
dist: 0.422612
dist: 0.458064
dist: 0.642897
dist: 0.610670
dist: 0.610670
dist: 0.503101
dist: 0.429057
dist: 0.422612
dist: 0.409721
dist: 0.395471
dist: 0.567555
dist: 0.349695
dist: 0.377056
dist: 0.422612
dist: 0.642897
dist: 0.409721
dist: 0.599783
dist: 0.448393
dist: 0.535328
dist: 0.535328
dist: 0.329863
dist: 0.441948
dist: 0.468807
dist: 0.435502
dist: 0.448393
dist: 0.632155
dist: 0.429057
dist: 0.409721
dist: 0.409721
dist: 1.600000
dist: 0.448393
dist: 0.319946
dist: 0.422612
dist: 0.468807
dist: 0.610670
dist: 0.403275
dist: 0.632155
dist: 0.386264
dist: 0.409721
dist: 0.344737
dist: 0.422612
dist: 0.422612
dist: 0.429057
dist: 0.535328
dist: 0.429057
dist: 0.358640
dist: 0.386264
dist: 0.416166
dist: 0.610670
dist: 0.367848
dist: 0.422612
dist: 0.367848
dist: 0.409721
dist: 0.599783
dist: 0.403275
dist: 0.409721
dist: 0.458064
dist: 0.386264
dist: 0.535328
dist: 0.599783
dist: 0.429057
dist: 0.458064
dist: 0.416166
dist: 0.429057
dist: 0.429057
dist: 0.441948
dist: 0.632155
dist: 0.458064
dist: 0.567555
dist: 0.422612
dist: 0.339779
dist: 0.441948
dist: 0.386264
dist: 0.310030
dist: 1.600000
dist: 0.610670
dist: 0.429057
dist: 0.339779
dist: 0.610670
dist: 0.655459
dist: 0.441948
dist: 0.621412
dist: 0.599783
dist: 0.367848
dist: 0.479549
dist: 0.503101
dist: 0.490291
dist: 0.367848
dist: 0.468807
dist: 0.468807
dist: 0.367848
dist: 0.503101
dist: 0.386264
dist: 0.429057
dist: 0.422612
dist: 0.386264
dist: 0.458064
dist: 0.503101
dist: 0.339779
dist: 0.468807
dist: 0.599783
dist: 0.621412
dist: 0.386264
dist: 0.349695
dist: 0.344737
dist: 0.468807
dist: 0.386264
dist: 0.358640
dist: 1.600000
dist: 0.479549
dist: 0.403275
dist: 0.403275
dist: 0.377056
dist: 0.334821
dist: 0.310030
dist: 0.599783
dist: 0.377056
dist: 0.458064
dist: 0.358640
dist: 0.358640
dist: 0.610670
dist: 0.429057
dist: 0.448393
dist: 0.358640
dist: 0.435502
dist: 0.429057
dist: 0.458064
dist: 0.422612
dist: 0.358640
dist: 0.395471
dist: 0.632155
dist: 0.377056
dist: 0.441948
dist: 0.448393
dist: 0.429057
dist: 0.610670
dist: 0.403275
dist: 0.416166
dist: 0.395471
dist: 0.468807
dist: 0.441948
dist: 0.610670
dist: 0.416166
dist: 0.395471
dist: 0.409721
dist: 0.416166
dist: 0.395471
dist: 0.687686
dist: 0.490291
dist: 0.503101
dist: 0.599783
dist: 0.671572
dist: 0.358640
dist: 0.305072
dist: 0.441948
dist: 0.324904
dist: 0.349695
dist: 0.435502
dist: 0.448393
dist: 0.503101
dist: 0.403275
dist: 0.503101
dist: 0.448393
dist: 0.422612
dist: 0.448393
dist: 0.422612
dist: 1.600000
dist: 0.386264
dist: 0.329863
dist: 0.468807
dist: 0.435502
dist: 0.642897
dist: 0.441948
dist: 0.458064
dist: 0.441948
dist: 0.503101
dist: 0.490291
dist: 0.329863
dist: 0.349695
dist: 0.403275
dist: 0.294753
dist: 0.610670
dist: 0.458064
dist: 0.599783
dist: 0.367848
dist: 0.409721
dist: 0.490291
dist: 0.429057
dist: 0.458064
dist: 0.422612
dist: 0.441948
dist: 0.349695
dist: 0.422612
dist: 0.490291
dist: 0.422612
dist: 0.458064
dist: 0.409721
dist: 0.448393
dist: 0.490291
dist: 0.429057
dist: 0.599783
dist: 0.479549
dist: 0.632155
dist: 0.429057
dist: 0.610670
dist: 0.416166
dist: 0.386264
dist: 0.655459
dist: 0.503101
dist: 0.403275
dist: 0.339779
dist: 0.458064
dist: 1.600000
dist: 0.429057
dist: 0.403275
dist: 0.468807
dist: 0.535328
dist: 0.671572
dist: 0.339779
dist: 0.409721
dist: 0.289382
dist: 0.349695
dist: 0.632155
dist: 0.377056
dist: 0.300114
dist: 0.300114
dist: 0.448393
dist: 0.458064
dist: 0.319946
dist: 0.403275
dist: 0.262526
dist: 0.567555
dist: 0.610670
dist: 0.409721
dist: 0.422612
dist: 0.599783
dist: 0.429057
dist: 0.490291
dist: 0.441948
dist: 0.429057
dist: 0.386264
dist: 0.468807
dist: 0.599783
dist: 0.334821
dist: 0.349695
dist: 0.403275
dist: 0.416166
dist: 1.600000
dist: 0.503101
dist: 0.367848
dist: 0.441948
dist: 0.610670
dist: 0.435502
dist: 0.610670
dist: 0.441948
dist: 0.479549
dist: 0.490291
dist: 0.468807
dist: 0.395471
dist: 0.319946
dist: 0.441948
dist: 0.441948
dist: 0.329863
dist: 0.429057
dist: 0.386264
dist: 0.490291
dist: 0.403275
dist: 0.503101
dist: 1.600000
dist: 0.386264
dist: 0.458064
dist: 0.319946
dist: 0.386264
dist: 0.610670
dist: 1.600000
dist: 0.458064
dist: 0.416166
dist: 0.377056
dist: 1.600000
dist: 0.395471
dist: 0.429057
dist: 0.409721
dist: 1.600000
dist: 0.344737
dist: 0.416166
dist: 0.642897
dist: 0.386264
dist: 0.503101
dist: 0.386264
dist: 0.422612
dist: 0.458064
dist: 0.377056
dist: 0.329863
dist: 0.409721
dist: 0.503101
dist: 0.479549
dist: 0.503101
dist: 0.416166
dist: 0.448393
dist: 0.567555
dist: 0.422612
dist: 0.621412
dist: 0.409721
dist: 0.441948
dist: 0.468807
dist: 0.329863
dist: 0.289382
dist: 0.503101
dist: 0.655459
dist: 0.468807
dist: 0.409721
dist: 0.344737
dist: 0.395471
dist: 0.441948
dist: 0.448393
dist: 0.377056
dist: 0.377056
dist: 0.403275
dist: 0.429057
dist: 0.468807
dist: 0.403275
dist: 1.600000
dist: 0.429057
dist: 0.567555
dist: 1.600000
dist: 0.344737
dist: 0.344737
dist: 0.429057
dist: 0.599783
dist: 0.671572
dist: 0.395471
dist: 0.441948
dist: 0.441948
dist: 0.339779
dist: 0.416166
dist: 0.409721
dist: 0.409721
dist: 0.621412
dist: 0.349695
dist: 0.468807
dist: 0.441948
dist: 0.367848
dist: 0.284010
dist: 0.441948
dist: 0.599783
dist: 0.429057
dist: 0.377056
dist: 0.468807
dist: 0.535328
dist: 0.468807
dist: 0.334821
dist: 0.448393
dist: 0.632155
dist: 0.377056
dist: 0.458064
dist: 0.610670
dist: 0.409721
dist: 0.535328
dist: 0.310030
dist: 1.600000
dist: 0.422612
dist: 0.599783
dist: 0.535328
dist: 0.416166
dist: 0.386264
dist: 0.367848
dist: 0.621412
dist: 0.409721
dist: 0.395471
dist: 0.386264
dist: 0.448393
dist: 0.632155
dist: 0.344737
dist: 0.458064
dist: 0.468807
dist: 0.349695
dist: 0.377056
dist: 0.441948
dist: 0.435502
dist: 0.479549
dist: 0.490291
dist: 0.441948
dist: 0.403275
dist: 0.278639
dist: 0.409721
dist: 1.600000
dist: 0.377056
dist: 0.409721
dist: 0.441948
dist: 0.448393
dist: 0.435502
dist: 0.458064
dist: 0.329863
dist: 0.610670
dist: 0.468807
dist: 0.448393
dist: 0.334821
dist: 0.458064
dist: 0.367848
dist: 0.599783
dist: 0.468807
dist: 0.422612
dist: 0.377056
dist: 0.349695
dist: 0.479549
dist: 0.416166
dist: 0.403275
dist: 0.610670
dist: 0.409721
dist: 0.468807
dist: 0.503101
dist: 0.395471
dist: 0.416166
dist: 0.610670
dist: 0.535328
dist: 0.441948
dist: 0.367848
dist: 0.429057
dist: 0.409721
dist: 0.599783
dist: 0.416166
dist: 0.395471
dist: 0.358640
dist: 0.367848
dist: 0.632155
dist: 0.386264
dist: 0.409721
dist: 0.567555
dist: 0.416166
dist: 0.344737
dist: 0.334821
dist: 0.567555
dist: 0.367848
dist: 0.458064
dist: 0.468807
dist: 0.409721
dist: 0.349695
dist: 0.334821
dist: 0.448393
dist: 0.490291
dist: 0.535328
dist: 0.395471
dist: 0.479549
dist: 0.567555
dist: 0.479549
dist: 0.441948
dist: 0.599783
dist: 0.610670
dist: 0.403275
dist: 0.386264
dist: 0.458064
dist: 0.458064
dist: 0.503101
dist: 0.468807
dist: 0.395471
dist: 0.599783
dist: 0.441948
dist: 0.386264
dist: 0.490291
dist: 0.429057
dist: 0.687686
dist: 0.349695
dist: 0.448393
dist: 0.458064
dist: 0.344737
dist: 0.503101
dist: 0.409721
dist: 0.599783
dist: 0.535328
dist: 0.334821
dist: 0.429057
dist: 0.409721
dist: 0.403275
dist: 0.567555
dist: 0.687686
dist: 0.403275
dist: 0.458064
dist: 0.468807
dist: 0.479549
dist: 0.429057
dist: 0.448393
dist: 0.300114
dist: 0.458064
dist: 0.441948
dist: 0.395471
dist: 0.458064
dist: 0.687686
dist: 0.409721
dist: 0.377056
dist: 0.422612
dist: 0.422612
dist: 0.429057
dist: 0.503101
dist: 0.490291
dist: 0.403275
dist: 0.441948
dist: 0.468807
dist: 0.458064
dist: 0.395471
dist: 0.468807
dist: 0.458064
dist: 0.671572
dist: 0.367848
dist: 0.339779
dist: 0.403275
dist: 0.386264
dist: 1.600000
dist: 0.429057
dist: 0.377056
dist: 0.671572
dist: 0.468807
dist: 0.687686
dist: 0.403275
dist: 0.655459
dist: 0.386264
dist: 0.409721
dist: 0.671572
dist: 0.599783
dist: 0.422612
dist: 0.422612
dist: 0.429057
dist: 0.621412
dist: 0.395471
dist: 0.377056
dist: 0.687686
dist: 0.567555
dist: 0.610670
dist: 0.409721
dist: 0.386264
dist: 0.377056
dist: 0.441948
dist: 0.468807
dist: 0.458064
dist: 0.535328
dist: 0.403275
dist: 0.458064
dist: 0.386264
dist: 1.600000
dist: 0.386264
dist: 0.409721
dist: 0.479549
dist: 0.409721
dist: 0.448393
dist: 0.429057
dist: 0.395471
dist: 0.358640
dist: 0.429057
dist: 0.479549
dist: 0.329863
dist: 0.409721
dist: 0.687686
dist: 0.386264
dist: 0.429057
dist: 0.535328
dist: 0.395471
dist: 0.441948
dist: 0.358640
dist: 0.409721
dist: 0.409721
dist: 0.642897
dist: 0.687686
dist: 0.409721
dist: 0.435502
dist: 0.441948
dist: 0.479549
dist: 0.429057
dist: 0.458064
dist: 1.600000
dist: 0.503101
dist: 0.429057
dist: 0.429057
dist: 0.314988
dist: 0.458064
dist: 0.448393
dist: 0.479549
dist: 0.490291
dist: 0.458064
dist: 0.409721
dist: 0.416166
dist: 0.599783
dist: 0.599783
dist: 0.377056
dist: 0.386264
dist: 0.503101
dist: 0.429057
dist: 0.377056
dist: 1.600000
dist: 0.422612
dist: 0.567555
dist: 0.632155
dist: 0.503101
dist: 0.386264
dist: 0.458064
dist: 0.479549
dist: 0.535328
dist: 0.435502
dist: 0.441948
dist: 0.409721
dist: 1.600000
dist: 0.435502
dist: 0.599783
dist: 0.403275
dist: 0.535328
dist: 0.599783
dist: 0.422612
dist: 0.403275
dist: 0.479549
dist: 0.422612
dist: 0.422612
dist: 0.422612
dist: 0.386264
dist: 0.435502
dist: 0.367848
dist: 0.610670
dist: 0.395471
dist: 0.273268
dist: 0.479549
dist: 0.490291
dist: 0.490291
dist: 0.344737
dist: 0.416166
dist: 0.344737
dist: 1.600000
dist: 0.621412
dist: 0.349695
dist: 0.490291
dist: 0.490291
dist: 0.395471
dist: 0.655459
dist: 0.448393
dist: 0.441948
dist: 0.344737
dist: 0.416166
dist: 0.367848
dist: 0.403275
dist: 0.610670
dist: 0.294753
dist: 0.503101
dist: 0.409721
dist: 0.448393
dist: 0.267897
dist: 0.319946
dist: 0.429057
dist: 0.403275
dist: 0.386264
dist: 0.490291
dist: 0.435502
dist: 0.441948
dist: 0.377056
dist: 0.367848
dist: 0.416166
dist: 0.503101
dist: 0.503101
dist: 0.422612
dist: 0.441948
dist: 0.479549
dist: 0.632155
dist: 0.267897
dist: 0.386264
dist: 0.655459
dist: 0.339779
dist: 0.429057
dist: 0.403275
dist: 0.395471
dist: 1.600000
dist: 0.503101
dist: 0.599783
dist: 0.349695
dist: 0.503101
dist: 0.468807
dist: 0.416166
dist: 0.610670
dist: 0.599783
dist: 0.448393
dist: 0.409721
dist: 0.435502
dist: 0.367848
dist: 0.422612
dist: 0.610670
dist: 0.535328
dist: 0.349695
dist: 0.377056
dist: 0.403275
dist: 1.600000
dist: 0.621412
dist: 0.367848
dist: 0.479549
dist: 0.409721
dist: 0.339779
dist: 0.409721
dist: 0.422612
dist: 0.416166
dist: 0.344737
dist: 0.441948
dist: 1.600000
dist: 0.403275
dist: 0.490291
dist: 0.468807
dist: 0.458064
dist: 0.358640
dist: 0.367848
dist: 0.377056
dist: 0.490291
dist: 0.535328
dist: 0.610670
dist: 0.349695
dist: 0.377056
dist: 0.416166
dist: 0.429057
dist: 0.468807
dist: 0.429057
dist: 0.468807
dist: 0.429057
dist: 0.621412
dist: 0.395471
dist: 0.409721
dist: 0.458064
dist: 0.642897
dist: 0.490291
dist: 0.479549
dist: 0.621412
dist: 0.599783
dist: 0.422612
dist: 0.403275
dist: 0.429057
dist: 0.367848
dist: 0.344737
dist: 0.503101
dist: 0.503101
dist: 0.386264
dist: 0.395471
dist: 0.422612
dist: 0.358640
dist: 0.395471
dist: 0.367848
dist: 0.377056
dist: 1.600000
dist: 0.503101
dist: 0.422612
dist: 0.349695
dist: 0.441948
dist: 0.403275
dist: 0.490291
dist: 0.422612
dist: 0.429057
dist: 0.468807
dist: 0.409721
dist: 0.610670
dist: 0.329863
dist: 0.403275
dist: 0.535328
dist: 0.479549
dist: 0.535328
dist: 0.422612
dist: 0.468807
dist: 0.409721
dist: 0.422612
dist: 0.621412
dist: 0.429057
dist: 0.416166
dist: 0.403275
dist: 0.671572
dist: 0.441948
dist: 0.367848
dist: 0.448393
dist: 0.435502
dist: 0.358640
dist: 0.395471
dist: 0.409721
dist: 0.409721
dist: 1.600000
dist: 1.600000
dist: 0.339779
dist: 0.599783
dist: 0.377056
dist: 0.535328
dist: 0.599783
dist: 0.599783
dist: 0.479549
dist: 0.386264
dist: 0.468807
dist: 0.324904
dist: 0.435502
dist: 0.409721
dist: 0.441948
dist: 0.377056
dist: 0.610670
dist: 0.429057
dist: 0.403275
dist: 0.377056
dist: 1.600000
dist: 0.458064
dist: 0.344737
dist: 0.358640
dist: 0.503101
dist: 0.458064
dist: 0.429057
dist: 0.567555
dist: 0.377056
dist: 0.409721
dist: 0.349695
dist: 0.395471
dist: 0.429057
dist: 0.458064
dist: 0.468807
dist: 0.422612
dist: 0.386264
dist: 0.395471
dist: 0.403275
dist: 0.403275
dist: 0.441948
dist: 0.468807
dist: 0.479549
dist: 0.386264
dist: 0.403275
dist: 0.409721
dist: 0.422612
dist: 0.458064
dist: 0.409721
dist: 0.358640
dist: 0.610670
dist: 0.429057
dist: 0.429057
dist: 0.386264
dist: 0.441948
dist: 0.448393
dist: 0.422612
dist: 0.621412
dist: 0.409721
dist: 0.458064
dist: 0.441948
dist: 0.448393
dist: 0.300114
dist: 0.386264
dist: 0.416166
dist: 0.422612
dist: 1.600000
dist: 0.687686
dist: 0.284010
dist: 0.416166
dist: 0.468807
dist: 0.468807
